DEPARTAMENTO,PROVINCIA,n_casos_posi,edad_media_posi,edad_mediana_posi,hombres_posi,mujeres_posi,n_casos_fac,edad_media_fac,edad_mediana_fac,hombres_fac,mujeres_fac,n_registros,N_CIU,N_ELEC_HABIL,VOTOS_PL,VOTOS_FP,V_BLANCOS,V_NULOS,coci_no_electricidad,coci_si_electricidad,No_GLP,Si_GLP,No_carbon,Si_carbon,No_leña,Si_leña,Total_h,Ladrillo_cemento,Piedra_sillar,Adobe,Tapia,Quincha,Piedra_barro,Madera_pared,Triplay_pared,Otro_pared,Concreto_armado,Madera_techo,Tejas,Calamina,Caña,Triplay_techo,Paja,Otro_techos,Parquet,Láminas,Losetas,Madera_piso,Cemento,Tierra,Otro_piso,Red_inte_vivienda,Red_fuera_vivienda,Pilon_pileta,Camion_cisterna,Pozo,Manantial,Rio_lago,Otro_agua,Vecino,Si_alum_elec,No_alum_elec,Total
AMAZONAS,BAGUA,8126,40.5806054639429,40,3676,4450,270,67.0333333333333,70,173,97,222,38970,62110,25980,10770,293,1927,20313,161,10557,9917,20185,289,7357,13117,20474,4633,46,6639,222,2518,127,4484,851,0,2187,294,179,13186,160,106,3408,0,6,19,647,157,7121,11569,1,9429,4392,793,59,1792,270,2648,56,81,13204,6316,19520
AMAZONAS,BONGARA,389,40.2827763496144,40,187,202,25,64.32,67,12,13,77,14576,20917,8374,5209,158,835,7689,124,3154,4659,7755,58,2345,5468,7813,1602,9,2729,240,157,36,2505,30,0,692,75,382,6084,38,5,32,0,5,2,165,132,2917,4087,0,4569,1497,215,0,474,67,388,61,37,6025,1283,7308
AMAZONAS,CHACHAPOYAS,2174,39.1780128794848,37,1072,1102,61,64.1803278688525,67,44,17,150,28447,40752,15671,10473,274,2029,14763,574,4696,10641,15161,176,7236,8101,15337,3782,22,5881,2476,309,168,1270,91,0,2262,160,3393,8005,50,14,115,0,23,36,1077,240,6189,6434,0,10647,1619,184,49,876,92,488,24,20,12248,1751,13999
AMAZONAS,CONDORCANQUI,3481,34.3116920425165,32,1469,2012,79,51.5063291139241,57,56,23,138,16195,38273,14024,1446,87,638,9853,14,8331,1536,9841,26,1059,8808,9867,291,7,672,8,386,7,8145,200,0,56,188,177,2036,15,10,7234,0,2,0,20,1523,943,7228,0,1307,867,1003,2,2564,431,3428,80,34,1792,7924,9716
AMAZONAS,LUYA,456,35.2916666666667,32,195,261,20,65,63.5,9,11,133,21879,35017,12606,7840,273,1160,13112,90,6863,6339,13169,33,1833,11369,13202,430,7,5217,6052,346,54,606,45,0,187,43,3071,9343,26,12,75,0,4,0,46,295,1911,10501,0,7172,3097,1112,0,819,132,369,9,47,10886,1871,12757
AMAZONAS,RODRIGUEZ DE MENDOZA,110,42.3090909090909,35.5,60,50,9,65,68,4,5,85,14617,22886,7967,5491,153,1006,9103,65,5387,3781,9142,26,1824,7344,9168,1546,7,2778,155,720,28,3646,24,0,480,48,2810,5495,15,5,51,0,3,4,264,176,2974,5483,0,5256,1278,154,0,1020,211,948,29,8,6895,2009,8904
AMAZONAS,UTCUBAMBA,3749,37.7169156883671,35,1956,1793,130,63.9769230769231,65,96,34,300,59182,86231,36540,19222,510,2910,31248,255,15425,16078,31168,335,10790,20713,31503,4727,35,17199,2964,1836,518,2714,210,0,2595,340,308,26620,196,62,82,0,20,32,940,328,10631,18252,0,14712,8760,1308,117,2502,471,2052,104,177,24395,5808,30203
ANCASH,AIJA,79,39.9367088607595,36,48,31,2,77.5,77.5,2,0,24,3945,5817,2325,1413,41,166,1989,16,1527,478,2001,4,219,1786,2005,15,1,1763,70,7,65,2,18,0,9,57,403,1297,10,17,148,0,0,0,4,24,195,1718,0,1451,42,10,0,230,121,76,2,9,1528,413,1941
ANCASH,ANTONIO RAIMONDI,54,37.5925925925926,33.5,26,28,5,59.8,66,1,4,40,6227,10921,5056,788,89,294,3894,33,3151,776,3923,4,351,3576,3927,97,0,658,3014,7,7,3,0,0,29,12,1146,2341,8,4,246,0,0,0,16,17,314,3439,0,3229,222,40,0,190,61,39,1,4,3089,697,3786
ANCASH,ASUNCION,59,44.6271186440678,44,36,23,3,57.3333333333333,60,2,1,21,4083,5968,2860,827,56,340,2347,12,1572,787,2352,7,175,2184,2359,215,3,368,1701,4,6,4,1,0,76,8,1893,314,5,3,3,0,5,1,41,12,409,1834,0,1642,444,4,0,124,27,49,6,6,2032,270,2302
