AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,P700I,P701$01,P701$02,P701$03,P701$04,P701$05,P701$10,P701$06,P701$07,P701$08,P701$09,P710I,P710$01,P710$02,P710$03,P710$04,P710$05,P710$06,P710$07,P710$08,P710$10,P710$11,P710$12,P710$13,P710$14,P710$15,P710$20,P710$21,P710$28,P710$29,P710$33,P710$34,TICUEST01,FACTOR
2025,07,015004,003,11,010101,4,4,02,0,0,1,0,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,385.347723755022
2025,07,015004,019,11,010101,4,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,385.347723755022
2025,07,015004,034,11,010101,4,4,02,0,0,1,0,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,385.347723755022
2025,07,015004,048,11,010101,4,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,385.347723755022
2025,07,015004,064,11,010101,4,4,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,385.347723755022
2025,07,015004,078,11,010101,4,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,385.347723755022
2025,07,015004,125,11,010101,4,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,385.347723755022
2025,07,015004,154,11,010101,4,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,385.347723755022
2025,07,015035,030,11,010701,7,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,913.577083052644
2025,07,015035,079,11,010701,7,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,913.577083052644
2025,07,015035,124,11,010701,7,4,01,0,0,0,0,0,1,0,0,0,0,01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,913.577083052644
2025,07,015035,147,11,010701,7,4,01,0,0,1,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,913.577083052644
2025,07,015035,167,11,010701,7,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,913.577083052644
2025,07,015035,189,11,010701,7,4,01,0,0,0,0,0,1,0,0,0,0,01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,913.577083052644
2025,07,015051,028,11,010701,7,4,02,0,0,0,1,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,760.491193460038
2025,07,015051,044,11,010701,7,4,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,760.491193460038
2025,07,015051,061,11,010701,7,4,02,0,0,1,1,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,760.491193460038
2025,07,015051,078,11,010701,7,4,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,760.491193460038
2025,07,015051,094,11,010701,7,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,760.491193460038
2025,07,015051,111,11,010701,7,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,760.491193460038
2025,07,015061,016,11,010201,7,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,913.577083052643
2025,07,015061,037,11,010201,7,4,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,913.577083052643
2025,07,015061,078,11,010201,7,4,02,0,0,1,0,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,913.577083052643
2025,07,015061,099,11,010201,7,4,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,913.577083052643
