"ANIO","CCDD","NOMBREDD","CCPP","NOMBREPV","CCDI","NOMBREDI","NSEGM","ID_PROD","UA","RESFIN","REGION","ESTRATO","FACTOR_PRODUCTOR","CODIGO","capacitacion","asistencia","parentesco","sexo","edad_persona","estado_civil","educacion","lengua","etnia","es_productor","tam_hogar"
2024,25,"UCAYALI",4,"PURUS",1,"PURUS",10001,1,1,1,3,250493005,21.21257,1,1,2,1,1,39,1,5,3,6,1,9
2024,25,"UCAYALI",4,"PURUS",1,"PURUS",10001,2,2,1,3,250493005,11.92999,1,1,2,1,1,41,1,3,3,6,1,4
2024,25,"UCAYALI",4,"PURUS",1,"PURUS",10001,3,3,1,3,250493005,43.84864,1,2,2,1,2,80,4,1,3,3,1,0
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10002,1,1,1,3,250391005,13.09255,1,2,2,1,1,56,1,4,1,1,1,1
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10002,2,2,1,3,250391005,16.38856,1,2,2,1,1,47,1,3,1,1,1,5
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10002,3,3,1,3,250391005,13.88565,1,2,2,1,1,40,1,4,4,6,1,3
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10002,4,4,1,3,250391005,22.57496,1,2,2,1,1,60,1,3,4,6,1,2
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10002,5,5,1,3,250391005,2.187476,1,2,2,1,1,60,1,3,1,1,1,1
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10002,6,6,1,3,250391005,1.47013,1,2,2,1,1,81,2,3,4,6,1,0
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10002,7,7,1,3,250391005,5.121626,1,2,2,1,1,38,2,6,4,6,1,0
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10003,1,1,1,3,250391005,5.162738,1,2,2,1,1,40,1,5,4,6,1,2
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10003,2,2,1,3,250391005,10.69118,1,2,2,1,2,57,2,5,4,6,1,0
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10003,3,3,1,3,250391005,12.99202,1,2,2,1,1,62,2,4,4,6,1,0
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10003,4,4,1,3,250391005,21.59325,1,2,2,1,1,40,2,5,4,6,1,0
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10004,1,1,1,3,250391005,28.86083,1,2,2,1,2,80,1,3,4,6,1,1
2024,25,"UCAYALI",3,"PADRE ABAD",5,"ALEXANDER VON HUMBOLDT",10004,2,2,1,3,250391005,22.38966,1,2,2,1,2,67,4,3,4,6,1,0
