age,gender,norm_educ,norm_income,party,prefsep_welfare,welfare_support
66,Hombre,0.8,1,cons,-1,Mantener o Reducir
30,Hombre,0.6,0,cons,1,Aumentar
67,Hombre,0.9,0.25,cons,-1,Mantener o Reducir
19,Mujer,0.7,NA,lib,-1,Mantener o Reducir
37,Hombre,0.6,0.5,other,-1,Mantener o Reducir
47,Hombre,1,0.5,ndp,1,Aumentar
49,Hombre,0.6,0,cons,0,Mantener o Reducir
22,Mujer,0.3,0,lib,1,Aumentar
37,Hombre,0.9,0.75,cons,-1,Mantener o Reducir
38,Hombre,0.4,0.75,ndp,0,Mantener o Reducir
72,Hombre,0.4,0.25,cons,1,Aumentar
53,Hombre,0.4,0.5,cons,-1,Mantener o Reducir
41,Hombre,0.8,0.75,ndp,-1,Mantener o Reducir
61,Hombre,0.5,0.25,cons,1,Aumentar
65,Mujer,0.6,0.25,lib,0,Mantener o Reducir
84,Hombre,0.8,0,cons,-1,Mantener o Reducir
23,Mujer,0.8,0,ndp,0,Mantener o Reducir
35,Mujer,0.6,0.5,ndp,0,Mantener o Reducir
71,Mujer,0.8,0.75,lib,0,Mantener o Reducir
25,Hombre,0.2,0,lib,0,Mantener o Reducir
48,Hombre,0.6,0.5,other,0,Mantener o Reducir
50,Hombre,0.5,0,lib,-1,Mantener o Reducir
31,Hombre,0.5,0.5,cons,-1,Mantener o Reducir
80,Mujer,0.4,0.25,lib,0,Mantener o Reducir
27,Mujer,0.4,0.75,lib,0,Mantener o Reducir
26,Mujer,0.8,0.5,cons,0,Mantener o Reducir
22,Mujer,0.3,0.75,cons,1,Aumentar
34,Mujer,0.7,NA,cons,-1,Mantener o Reducir
67,Hombre,0.7,0.25,cons,1,Aumentar
47,Mujer,0.5,1,ndp,1,Aumentar
68,Hombre,0.6,0,cons,1,Aumentar
71,Hombre,1,NA,cons,0,Mantener o Reducir
46,Hombre,0.6,1,cons,-1,Mantener o Reducir
28,Hombre,NA,1,lib,0,Mantener o Reducir
37,Mujer,0.8,0.75,lib,0,Mantener o Reducir
48,Mujer,0.5,0.25,ndp,0,Mantener o Reducir
61,Hombre,0.7,0.25,cons,0,Mantener o Reducir
38,Hombre,0.6,1,lib,-1,Mantener o Reducir
23,Mujer,0.8,0.25,lib,-1,Mantener o Reducir
61,Mujer,0.6,0.25,ndp,0,Mantener o Reducir
74,Mujer,0.3,0,cons,-1,Mantener o Reducir
60,Mujer,0.7,0.5,cons,0,Mantener o Reducir
67,Hombre,0.3,0,cons,0,Mantener o Reducir
35,Hombre,1,0.75,other,-1,Mantener o Reducir
37,Mujer,1,1,ndp,-1,Mantener o Reducir
65,Mujer,0.5,0,cons,0,Mantener o Reducir
46,Hombre,0.4,0.75,cons,-1,Mantener o Reducir
37,Mujer,0.4,NA,cons,0,Mantener o Reducir
62,Hombre,0.4,0,cons,0,Mantener o Reducir
51,Mujer,0.7,1,cons,-1,Mantener o Reducir
63,Hombre,0.6,0.25,cons,0,Mantener o Reducir
18,Mujer,0.7,1,lib,1,Aumentar
58,Mujer,0.6,0.5,cons,0,Mantener o Reducir
55,Hombre,0.7,1,cons,-1,Mantener o Reducir
20,Hombre,0.7,0.75,cons,0,Mantener o Reducir
64,Hombre,1,0,ndp,1,Aumentar
58,Mujer,0.4,1,cons,-1,Mantener o Reducir
40,Mujer,0.4,NA,lib,0,Mantener o Reducir
41,Mujer,0.8,1,cons,0,Mantener o Reducir
40,Hombre,0.2,1,ndp,-1,Mantener o Reducir
65,Mujer,0.8,0,cons,-1,Mantener o Reducir
53,Mujer,0.6,0.5,cons,-1,Mantener o Reducir
81,Hombre,0.7,0.25,cons,0,Mantener o Reducir
77,Hombre,0.5,0.25,lib,0,Mantener o Reducir
41,Hombre,1,1,cons,0,Mantener o Reducir
39,Hombre,0.9,0.5,other,0,Mantener o Reducir
61,Hombre,0.4,0.25,cons,0,Mantener o Reducir
43,Hombre,1,0,cons,0,Mantener o Reducir
65,Mujer,0.8,1,cons,0,Mantener o Reducir
61,Mujer,0.5,0.5,cons,-1,Mantener o Reducir
60,Mujer,0.4,0,ndp,1,Aumentar
18,Mujer,0.4,0.75,ndp,-1,Mantener o Reducir
65,Mujer,0.5,0.75,cons,1,Aumentar
52,Hombre,0.7,0,ndp,1,Aumentar
48,Hombre,0.6,1,other,-1,Mantener o Reducir
35,Hombre,0.4,0,lib,0,Mantener o Reducir
41,Hombre,0.8,0.25,lib,1,Aumentar
56,Mujer,0.3,0,cons,0,Mantener o Reducir
33,Mujer,0.7,0,ndp,0,Mantener o Reducir
58,Hombre,0.6,0,ndp,1,Aumentar
38,Mujer,0.9,0.75,lib,1,Aumentar
74,Mujer,0.6,1,ndp,1,Aumentar
61,Mujer,0.6,0.25,cons,-1,Mantener o Reducir
29,Mujer,0.4,1,ndp,1,Aumentar
64,Hombre,0.5,0,other,1,Aumentar
20,Hombre,0.3,0.75,ndp,0,Mantener o Reducir
43,Mujer,0.5,0.5,cons,-1,Mantener o Reducir
72,Hombre,0.6,0,cons,-1,Mantener o Reducir
23,Mujer,0.6,1,ndp,0,Mantener o Reducir
37,Hombre,0.3,NA,other,1,Aumentar
42,Mujer,0.8,1,lib,0,Mantener o Reducir
35,Mujer,0.9,1,cons,0,Mantener o Reducir
60,Mujer,0.3,1,ndp,1,Aumentar
20,Mujer,0.4,0.5,lib,1,Aumentar
20,Hombre,0.7,0.5,ndp,-1,Mantener o Reducir
74,Hombre,0.5,0.5,lib,1,Aumentar
23,Hombre,0.8,1,cons,-1,Mantener o Reducir
58,Hombre,0.8,1,cons,-1,Mantener o Reducir
54,Mujer,0.5,NA,cons,1,Aumentar
36,Hombre,0.6,0.25,cons,-1,Mantener o Reducir
19,Mujer,0.4,0.25,lib,-1,Mantener o Reducir
30,Hombre,0.6,1,cons,-1,Mantener o Reducir
64,Mujer,0.8,0.75,cons,0,Mantener o Reducir
23,Mujer,0.4,0.5,lib,0,Mantener o Reducir
75,Mujer,0.4,0.5,cons,-1,Mantener o Reducir
71,Mujer,0.6,NA,cons,-1,Mantener o Reducir
33,Hombre,0.5,1,ndp,-1,Mantener o Reducir
76,Hombre,0.5,0.5,ndp,1,Aumentar
18,Hombre,0.7,0.75,cons,1,Aumentar
33,Mujer,0.5,0,cons,0,Mantener o Reducir
81,Hombre,0.5,0,cons,1,Aumentar
38,Hombre,0.9,NA,other,-1,Mantener o Reducir
83,Hombre,0.6,0.5,cons,0,Mantener o Reducir
23,Hombre,0.7,0.5,cons,0,Mantener o Reducir
70,Hombre,0.8,0.5,cons,0,Mantener o Reducir
67,Hombre,0.8,0.25,ndp,1,Aumentar
65,Hombre,0.8,1,ndp,1,Aumentar
61,Hombre,0.6,0.75,cons,-1,Mantener o Reducir
21,Mujer,0.7,0.5,ndp,1,Aumentar
30,Mujer,0.4,0.25,lib,0,Mantener o Reducir
23,Mujer,0.6,1,other,-1,Mantener o Reducir
20,Mujer,0.4,0.25,ndp,1,Aumentar
35,Mujer,0.8,1,cons,0,Mantener o Reducir
25,Hombre,0.8,0.5,other,0,Mantener o Reducir
22,Hombre,0.6,0.75,ndp,0,Mantener o Reducir
30,Mujer,0.8,1,cons,0,Mantener o Reducir
78,Hombre,0.5,0.75,cons,0,Mantener o Reducir
50,Mujer,0.4,0.5,other,1,Aumentar
24,Hombre,0.7,1,lib,0,Mantener o Reducir
54,Hombre,0.7,0.25,cons,-1,Mantener o Reducir
72,Mujer,0.6,0.75,lib,0,Mantener o Reducir
34,Mujer,0.6,1,lib,-1,Mantener o Reducir
52,Hombre,0.8,0.5,ndp,0,Mantener o Reducir
25,Hombre,0,NA,ndp,-1,Mantener o Reducir
75,Mujer,1,0.5,ndp,1,Aumentar
