Departamento,2003,2007,2010,2011.x,2012.x,2015.x,2017.x,2018.x,2019.x,2021.x,2022,esperanza_rel,2011.y,2012.y,2013,2014,2015.y,2016,2017.y,2018.y,2019.y,2020,2021.y,tasa_homicidios_rel,Población(proy. 2022),Dosisacumuladas,poblacion_num,dosis_num,tasa_vacunacion,X2015,X2021,acceso_salud_rel
Amazonas,69.3,72.4,73.3,73.9,74.1,74.2,73.3,73.6,69,74.2,74.9,1,7.2,8.9,7.6,4,8,6.6,9.9,8.5,7.8,6.3,6.1,0.7625,429 515,633 309,429515,633309,1.47447469820612,87,90.5,1.04022988505747
Áncash,69.6,72.3,73.4,73.9,74.3,75.4,75.7,76.2,74.9,76.5,77.1,1.01458885941645,5.7,9.7,10,10.2,7.6,7.4,5.1,4.3,5.6,3.9,6.9,0.907894736842105,1 194 580,2 375 339,1194580,2375339,1.98843024326542,74.1,87.2,1.17678812415655
Apurímac,65.9,71.8,72.2,73.2,72.8,73.7,72.3,73.1,69.8,74.3,74.8,1.00814111261872,3.3,0,5.1,3.1,3.9,8.5,3.7,6,9.5,6.3,9.5,2.43589743589744,429 936,771 965,429936,771965,1.79553468423207,90.6,94,1.03752759381898
Arequipa,71.4,73.5,75,75.5,76,77.4,78.2,78.7,77.6,79.1,79.4,1.02196382428941,5.8,6.3,5.6,5.3,5.6,4.5,6,6.9,7.4,5.7,7.8,1.39285714285714,1 554 251,2 748 434,1554251,2748434,1.76833342877051,60.9,74.3,1.2200328407225
Ayacucho,67.1,70.9,70.2,70.9,70.5,71.3,71.1,71.4,73.2,74,74.5,1.03786816269285,2.9,4.1,4.5,3.7,7.4,7.5,8.8,6.5,4.1,5.5,6.9,0.932432432432432,670 967,981 915,670967,981915,1.46343262783416,87.8,90.7,1.03302961275626
Cajamarca,69.2,72.1,73.1,73.7,74,74.8,74.8,75.2,73.3,75.8,76.2,1.01336898395722,5,7.3,6.3,6.6,6.8,6.1,5.5,4.9,4.8,4.3,4.3,0.632352941176471,1 454 484,2 478 117,1454484,2478117,1.70377742209608,82.6,90.2,1.09200968523002
Callao,73.9,76.2,78.6,79.1,79.8,81.5,82.5,83.2,78.1,79.5,80.3,0.975460122699386,10.2,12.6,13.4,14.8,15.2,12.7,13.1,15.7,15.6,12,25.5,1.67763157894737,1 171 658,2 252 674,1171658,2252674,1.92263783458996,76.7,81.3,1.0599739243807
Cusco,66.4,70.8,70.1,70.8,70.3,71.2,70.7,71.1,72.4,73.9,74.6,1.03792134831461,5.5,5.2,5.6,4.2,8.7,8.2,9.2,7.2,8.1,6.4,6.5,0.747126436781609,1 380 760,2 314 364,1380760,2314364,1.67615226397057,76.5,85.1,1.11241830065359
Huancavelica,64.1,70,65.9,66.5,65.8,65.5,64,64,74.2,73.8,74.3,1.12671755725191,1.5,2.3,2.1,2.2,4.8,7,4.6,4.7,5.9,5.5,7.5,1.5625,351 085,664 147,351085,664147,1.89169859150918,94.5,95.7,1.01269841269841
Huánuco,68.3,71.5,71.9,72.5,72.6,73.3,73.1,73.5,72.5,73.8,75.6,1.00682128240109,6.1,6.2,4.2,7.7,9.9,11.2,8.1,9.4,6.3,7.2,5.7,0.575757575757576,755 280,1 260 431,755280,1260431,1.66882613070649,80.2,90.5,1.1284289276808
